"set"	"accession"	"annotname"	"litteralname"	"chrsize.bp"	"annot"
"Lupinus_angustifolius_Zhou2017"	"GCA_002285895.2"	"CP023132.1"	20	"26611861"	"CP023132.1 Lupinus angustifolius cultivar Tanjil chromosome LG-20"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007890.1"	1	"153905722"	"CM007890.1 Helianthus annuus linkage group 1, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007891.1"	2	"180951721"	"CM007891.1 Helianthus annuus linkage group 2, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007892.1"	3	"168485022"	"CM007892.1 Helianthus annuus linkage group 3, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007893.1"	4	"178899001"	"CM007893.1 Helianthus annuus linkage group 4, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007894.1"	5	"219053782"	"CM007894.1 Helianthus annuus linkage group 5, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007895.1"	6	"103887801"	"CM007895.1 Helianthus annuus linkage group 6, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007896.1"	7	"103871911"	"CM007896.1 Helianthus annuus linkage group 7, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007897.1"	8	"153252196"	"CM007897.1 Helianthus annuus linkage group 8, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007898.1"	9	"209865144"	"CM007898.1 Helianthus annuus linkage group 9, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007899.1"	10	"246315975"	"CM007899.1 Helianthus annuus linkage group 10, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007900.1"	11	"168460249"	"CM007900.1 Helianthus annuus linkage group 11, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007901.1"	12	"166489593"	"CM007901.1 Helianthus annuus linkage group 12, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007902.1"	13	"197258317"	"CM007902.1 Helianthus annuus linkage group 13, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007903.1"	14	"174509413"	"CM007903.1 Helianthus annuus linkage group 14, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007904.1"	15	"171247636"	"CM007904.1 Helianthus annuus linkage group 15, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007905.1"	16	"188620566"	"CM007905.1 Helianthus annuus linkage group 16, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007906.1"	17	"214723238"	"CM007906.1 Helianthus annuus linkage group 17, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007907.1"	"NA"	"151101"	"CM007907.1 Helianthus annuus, complete sequence, whole genome shotgun sequence"
"Helianthus_annuus_Talukder2014"	"GCA_002127325.1"	"CM007908.1"	"NA"	"301004"	"CM007908.1 Helianthus annuus mitochondrion, complete sequence, whole genome shotgun sequence"
"Hordeum_vulgare_MunozAmatriain2014"	"GCA_900075435.2"	"chr1H"	"1H"	"558535432"	"chr1H dna:chromosome chromosome:IBSC_v2:chr1H:1:558535432:1 REF"
"Hordeum_vulgare_MunozAmatriain2014"	"GCA_900075435.2"	"chr2H"	"2H"	"768075024"	"chr2H dna:chromosome chromosome:IBSC_v2:chr2H:1:768075024:1 REF"
"Hordeum_vulgare_MunozAmatriain2014"	"GCA_900075435.2"	"chr3H"	"3H"	"699711114"	"chr3H dna:chromosome chromosome:IBSC_v2:chr3H:1:699711114:1 REF"
"Hordeum_vulgare_MunozAmatriain2014"	"GCA_900075435.2"	"chr4H"	"4H"	"647060158"	"chr4H dna:chromosome chromosome:IBSC_v2:chr4H:1:647060158:1 REF"
"Hordeum_vulgare_MunozAmatriain2014"	"GCA_900075435.2"	"chr5H"	"5H"	"670030160"	"chr5H dna:chromosome chromosome:IBSC_v2:chr5H:1:670030160:1 REF"
"Hordeum_vulgare_MunozAmatriain2014"	"GCA_900075435.2"	"chr6H"	"6H"	"583380513"	"chr6H dna:chromosome chromosome:IBSC_v2:chr6H:1:583380513:1 REF"
"Hordeum_vulgare_MunozAmatriain2014"	"GCA_900075435.2"	"chr7H"	"7H"	"657224000"	"chr7H dna:chromosome chromosome:IBSC_v2:chr7H:1:657224000:1 REF"
"Hordeum_vulgare_MunozAmatriain2014"	"GCA_900075435.2"	"chrUn"	"NA"	"249774706"	"chrUn dna:chromosome chromosome:IBSC_v2:chrUn:1:249774706:1 REF"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029772.2"	"A1"	"107035537"	"NC_029772.2 Arachis duranensis cultivar V14167 chromosome A01, Aradu1.1, whole genome shotgun sequence"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029773.2"	"A2"	"93869048"	"NC_029773.2 Arachis duranensis cultivar V14167 chromosome A02, Aradu1.1, whole genome shotgun sequence"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029774.2"	"A3"	"135057546"	"NC_029774.2 Arachis duranensis cultivar V14167 chromosome A03, Aradu1.1, whole genome shotgun sequence"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029775.2"	"A4"	"123556382"	"NC_029775.2 Arachis duranensis cultivar V14167 chromosome A04, Aradu1.1, whole genome shotgun sequence"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029776.2"	"A5"	"110037037"	"NC_029776.2 Arachis duranensis cultivar V14167 chromosome A05, Aradu1.1, whole genome shotgun sequence"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029777.2"	"A6"	"112752717"	"NC_029777.2 Arachis duranensis cultivar V14167 chromosome A06, Aradu1.1, whole genome shotgun sequence"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029778.2"	"A7"	"79126724"	"NC_029778.2 Arachis duranensis cultivar V14167 chromosome A07, Aradu1.1, whole genome shotgun sequence"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029779.2"	"A8"	"49462234"	"NC_029779.2 Arachis duranensis cultivar V14167 chromosome A08, Aradu1.1, whole genome shotgun sequence"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029780.2"	"A9"	"120672674"	"NC_029780.2 Arachis duranensis cultivar V14167 chromosome A09, Aradu1.1, whole genome shotgun sequence"
"Arachis_duranensis_Bertioli2016"	"GCF_000817695.2"	"NC_029781.2"	"A10"	"109463236"	"NC_029781.2 Arachis duranensis cultivar V14167 chromosome A10, Aradu1.1, whole genome shotgun sequence"
"Triticum_urartu_Ling2018"	"GCA_003073215.1"	"CM009793.1"	1	"584211917"	"CM009793.1 Triticum urartu cultivar G1812 chromosome 1, whole genome shotgun sequence"
"Triticum_urartu_Ling2018"	"GCA_003073215.1"	"CM009794.1"	2	"753719114"	"CM009794.1 Triticum urartu cultivar G1812 chromosome 2, whole genome shotgun sequence"
"Triticum_urartu_Ling2018"	"GCA_003073215.1"	"CM009795.1"	3	"747046674"	"CM009795.1 Triticum urartu cultivar G1812 chromosome 3, whole genome shotgun sequence"
"Triticum_urartu_Ling2018"	"GCA_003073215.1"	"CM009796.1"	4	"619584425"	"CM009796.1 Triticum urartu cultivar G1812 chromosome 4, whole genome shotgun sequence"
"Triticum_urartu_Ling2018"	"GCA_003073215.1"	"CM009797.1"	5	"661480603"	"CM009797.1 Triticum urartu cultivar G1812 chromosome 5, whole genome shotgun sequence"
"Triticum_urartu_Ling2018"	"GCA_003073215.1"	"CM009798.1"	6	"575865107"	"CM009798.1 Triticum urartu cultivar G1812 chromosome 6, whole genome shotgun sequence"
"Triticum_urartu_Ling2018"	"GCA_003073215.1"	"CM009799.1"	7	"719689837"	"CM009799.1 Triticum urartu cultivar G1812 chromosome 7, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_016088.3"	1	"56831624"	"NC_016088.3 Glycine max cultivar Williams 82 chromosome 1, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_016089.3"	2	"48577505"	"NC_016089.3 Glycine max cultivar Williams 82 chromosome 2, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_016090.3"	3	"45779781"	"NC_016090.3 Glycine max cultivar Williams 82 chromosome 3, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_016091.3"	4	"52389146"	"NC_016091.3 Glycine max cultivar Williams 82 chromosome 4, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038241.1"	5	"42234498"	"NC_038241.1 Glycine max cultivar Williams 82 chromosome 5, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038242.1"	6	"51416486"	"NC_038242.1 Glycine max cultivar Williams 82 chromosome 6, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038243.1"	7	"44630646"	"NC_038243.1 Glycine max cultivar Williams 82 chromosome 7, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038244.1"	8	"47837940"	"NC_038244.1 Glycine max cultivar Williams 82 chromosome 8, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038245.1"	9	"50189764"	"NC_038245.1 Glycine max cultivar Williams 82 chromosome 9, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038246.1"	10	"51566898"	"NC_038246.1 Glycine max cultivar Williams 82 chromosome 10, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038247.1"	11	"34766867"	"NC_038247.1 Glycine max cultivar Williams 82 chromosome 11, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038248.1"	12	"40091314"	"NC_038248.1 Glycine max cultivar Williams 82 chromosome 12, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038249.1"	13	"45874162"	"NC_038249.1 Glycine max cultivar Williams 82 chromosome 13, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038250.1"	14	"49042192"	"NC_038250.1 Glycine max cultivar Williams 82 chromosome 14, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038251.1"	15	"51756343"	"NC_038251.1 Glycine max cultivar Williams 82 chromosome 15, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038252.1"	16	"37887014"	"NC_038252.1 Glycine max cultivar Williams 82 chromosome 16, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038253.1"	17	"41641366"	"NC_038253.1 Glycine max cultivar Williams 82 chromosome 17, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038254.1"	18	"58018742"	"NC_038254.1 Glycine max cultivar Williams 82 chromosome 18, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038255.1"	19	"50746916"	"NC_038255.1 Glycine max cultivar Williams 82 chromosome 19, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_038256.1"	20	"47904181"	"NC_038256.1 Glycine max cultivar Williams 82 chromosome 20, Glycine_max_v2.1, whole genome shotgun sequence"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_007942.1"	"NA"	"152218"	"NC_007942.1 Glycine max chloroplast, complete genome"
"Glycine_max_Watanabe2017"	"GCF_000004515.4"	"NC_020455.1"	"NA"	"402558"	"NC_020455.1 Glycine max mitochondrion, complete genome"
"Panicum_hallii_Lovell2018"	"GCA_002211085.2"	"CM008046.2"	1	"59908720"	"CM008046.2 Panicum hallii strain FIL2 chromosome 1, whole genome shotgun sequence"
"Panicum_hallii_Lovell2018"	"GCA_002211085.2"	"CM008047.2"	2	"57869027"	"CM008047.2 Panicum hallii strain FIL2 chromosome 2, whole genome shotgun sequence"
"Panicum_hallii_Lovell2018"	"GCA_002211085.2"	"CM008048.2"	3	"64542667"	"CM008048.2 Panicum hallii strain FIL2 chromosome 3, whole genome shotgun sequence"
"Panicum_hallii_Lovell2018"	"GCA_002211085.2"	"CM008049.2"	4	"52913018"	"CM008049.2 Panicum hallii strain FIL2 chromosome 4, whole genome shotgun sequence"
"Panicum_hallii_Lovell2018"	"GCA_002211085.2"	"CM008050.2"	5	"59521222"	"CM008050.2 Panicum hallii strain FIL2 chromosome 5, whole genome shotgun sequence"
"Panicum_hallii_Lovell2018"	"GCA_002211085.2"	"CM008051.2"	6	"45727423"	"CM008051.2 Panicum hallii strain FIL2 chromosome 6, whole genome shotgun sequence"
"Panicum_hallii_Lovell2018"	"GCA_002211085.2"	"CM008052.2"	7	"48048951"	"CM008052.2 Panicum hallii strain FIL2 chromosome 7, whole genome shotgun sequence"
"Panicum_hallii_Lovell2018"	"GCA_002211085.2"	"CM008053.2"	8	"44948983"	"CM008053.2 Panicum hallii strain FIL2 chromosome 8, whole genome shotgun sequence"
"Panicum_hallii_Lovell2018"	"GCA_002211085.2"	"CM008054.2"	9	"73933493"	"CM008054.2 Panicum hallii strain FIL2 chromosome 9, whole genome shotgun sequence"
"Prunus_persica_Verde2017"	"GCA_000346465.2"	"CM007651.1"	1	"47851208"	"CM007651.1 Prunus persica cultivar Lovell chromosome G1, whole genome shotgun sequence"
"Prunus_persica_Verde2017"	"GCA_000346465.2"	"CM007652.1"	2	"30405870"	"CM007652.1 Prunus persica cultivar Lovell chromosome G2, whole genome shotgun sequence"
"Prunus_persica_Verde2017"	"GCA_000346465.2"	"CM007653.1"	3	"27368013"	"CM007653.1 Prunus persica cultivar Lovell chromosome G3, whole genome shotgun sequence"
"Prunus_persica_Verde2017"	"GCA_000346465.2"	"CM007654.1"	4	"25843236"	"CM007654.1 Prunus persica cultivar Lovell chromosome G4, whole genome shotgun sequence"
"Prunus_persica_Verde2017"	"GCA_000346465.2"	"CM007655.1"	5	"18496696"	"CM007655.1 Prunus persica cultivar Lovell chromosome G5, whole genome shotgun sequence"
"Prunus_persica_Verde2017"	"GCA_000346465.2"	"CM007656.1"	6	"30767194"	"CM007656.1 Prunus persica cultivar Lovell chromosome G6, whole genome shotgun sequence"
"Prunus_persica_Verde2017"	"GCA_000346465.2"	"CM007657.1"	7	"22388614"	"CM007657.1 Prunus persica cultivar Lovell chromosome G7, whole genome shotgun sequence"
"Prunus_persica_Verde2017"	"GCA_000346465.2"	"CM007658.1"	8	"22573980"	"CM007658.1 Prunus persica cultivar Lovell chromosome G8, whole genome shotgun sequence"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030983.1"	"A01"	"111624253"	"CP030983.1 Arachis hypogaea cultivar Shitouqi chromosome A01"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030984.1"	"A02"	"99791824"	"CP030984.1 Arachis hypogaea cultivar Shitouqi chromosome A02"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030985.1"	"A03"	"143206517"	"CP030985.1 Arachis hypogaea cultivar Shitouqi chromosome A03"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030986.1"	"A04"	"122064722"	"CP030986.1 Arachis hypogaea cultivar Shitouqi chromosome A04"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030987.1"	"A05"	"116166884"	"CP030987.1 Arachis hypogaea cultivar Shitouqi chromosome A05"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030988.1"	"A06"	"109264827"	"CP030988.1 Arachis hypogaea cultivar Shitouqi chromosome A06"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030989.1"	"A07"	"83117376"	"CP030989.1 Arachis hypogaea cultivar Shitouqi chromosome A07"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030990.1"	"A08"	"51955169"	"CP030990.1 Arachis hypogaea cultivar Shitouqi chromosome A08"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030991.1"	"A09"	"121058954"	"CP030991.1 Arachis hypogaea cultivar Shitouqi chromosome A09"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030992.1"	"A10"	"114519869"	"CP030992.1 Arachis hypogaea cultivar Shitouqi chromosome A10"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030993.1"	"B01"	"149379573"	"CP030993.1 Arachis hypogaea cultivar Shitouqi chromosome B01"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030994.1"	"B02"	"122213787"	"CP030994.1 Arachis hypogaea cultivar Shitouqi chromosome B02"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030995.1"	"B03"	"150766190"	"CP030995.1 Arachis hypogaea cultivar Shitouqi chromosome B03"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030996.1"	"B04"	"135085854"	"CP030996.1 Arachis hypogaea cultivar Shitouqi chromosome B04"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030997.1"	"B05"	"153119099"	"CP030997.1 Arachis hypogaea cultivar Shitouqi chromosome B05"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030998.1"	"B06"	"153789061"	"CP030998.1 Arachis hypogaea cultivar Shitouqi chromosome B06"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP030999.1"	"B07"	"132998879"	"CP030999.1 Arachis hypogaea cultivar Shitouqi chromosome B07"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP031000.1"	"B08"	"136776503"	"CP031000.1 Arachis hypogaea cultivar Shitouqi chromosome B08"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP031001.1"	"B09"	"159154999"	"CP031001.1 Arachis hypogaea cultivar Shitouqi chromosome B09"
"Arachis_hypogaea_Zhuang2019"	"GCA_003713155.1"	"CP031002.1"	"B10"	"140659116"	"CP031002.1 Arachis hypogaea cultivar Shitouqi chromosome B10"
"Boechera_stricta_Lee2020"	"NA"	"NA"	"1"	"NA"	"NA"
"Boechera_stricta_Lee2020"	"NA"	"NA"	"2"	"NA"	"NA"
"Boechera_stricta_Lee2020"	"NA"	"NA"	"3"	"NA"	"NA"
"Boechera_stricta_Lee2020"	"NA"	"NA"	"4"	"NA"	"NA"
"Boechera_stricta_Lee2020"	"NA"	"NA"	"5"	"NA"	"NA"
"Boechera_stricta_Lee2020"	"NA"	"NA"	"6"	"NA"	"NA"
"Boechera_stricta_Lee2020"	"NA"	"NA"	"7"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"1"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"2"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"3"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"4"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"5"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"6"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"7"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"8"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"9"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"10"	"NA"	"NA"
"Momordica_charantia_Mastumura2020"	"NA"	"NA"	"11"	"NA"	"NA"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_025993.1"	1	"68435666"	"NC_025993.1 Elaeis guineensis chromosome 1, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_025994.1"	2	"65558141"	"NC_025994.1 Elaeis guineensis chromosome 2, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_025995.1"	3	"60060032"	"NC_025995.1 Elaeis guineensis chromosome 3, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_025996.1"	4	"57251647"	"NC_025996.1 Elaeis guineensis chromosome 4, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_025997.1"	5	"51955539"	"NC_025997.1 Elaeis guineensis chromosome 5, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_025998.1"	6	"44357769"	"NC_025998.1 Elaeis guineensis chromosome 6, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_025999.1"	7	"43454766"	"NC_025999.1 Elaeis guineensis chromosome 7, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_026000.1"	8	"40195399"	"NC_026000.1 Elaeis guineensis chromosome 8, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_026001.1"	9	"38056896"	"NC_026001.1 Elaeis guineensis chromosome 9, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_026002.1"	10	"31890735"	"NC_026002.1 Elaeis guineensis chromosome 10, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_026003.1"	11	"30068910"	"NC_026003.1 Elaeis guineensis chromosome 11, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_026004.1"	12	"28800575"	"NC_026004.1 Elaeis guineensis chromosome 12, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_026005.1"	13	"27817470"	"NC_026005.1 Elaeis guineensis chromosome 13, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_026006.1"	14	"24379743"	"NC_026006.1 Elaeis guineensis chromosome 14, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_026007.1"	15	"24314465"	"NC_026007.1 Elaeis guineensis chromosome 15, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_026008.1"	16	"21371083"	"NC_026008.1 Elaeis guineensis chromosome 16, EG5, whole genome shotgun sequence"
"Elaeis_guineensis_Yaakub2020"	"GCF_000442705.1"	"NC_017602.1"	"NA"	"156973"	"NC_017602.1 Elaeis guineensis chloroplast, complete genome"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040279.1"	1	"42129361"	"NC_040279.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 1, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040280.1"	2	"33908088"	"NC_040280.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 2, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040281.1"	3	"65292630"	"NC_040281.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 3, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040282.1"	4	"42731077"	"NC_040282.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 4, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040283.1"	5	"48746289"	"NC_040283.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 5, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040284.1"	6	"34463471"	"NC_040284.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 6, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040285.1"	7	"40876636"	"NC_040285.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 7, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040286.1"	8	"38363498"	"NC_040286.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 8, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040287.1"	9	"43933251"	"NC_040287.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 9, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040288.1"	10	"41327797"	"NC_040288.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 10, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_040289.1"	11	"41684185"	"NC_040289.1 Vigna unguiculata cultivar IT97K-499-35 chromosome 11, ASM411807v1, whole genome shotgun sequence"
"Vigna_unguiculata_Lonardi2019"	"GCF_004118075.1"	"NC_018051.1"	"NA"	"152415"	"NC_018051.1 Vigna unguiculata chloroplast, complete genome"
"Lupinus_albus_Ksiazkiewicz2017"	"GCA_009771035.1"	"CM019999.1"	1	"23521228"	"CM019999.1 Lupinus albus cultivar Amiga chromosome 1, whole genome shotgun sequence"
"Lupinus_albus_Ksiazkiewicz2017"	"GCA_009771035.1"	"CM020000.1"	2	"17964110"	"CM020000.1 Lupinus albus cultivar Amiga chromosome 2, whole genome shotgun sequence"
"Lupinus_albus_Ksiazkiewicz2017"	"GCA_009771035.1"	"CM020001.1"	3	"21293160"	"CM020001.1 Lupinus albus cultivar Amiga chromosome 3, whole genome shotgun sequence"
"Lupinus_albus_Ksiazkiewicz2017"	"GCA_009771035.1"	"CM020002.1"	4	"16823923"	"CM020002.1 Lupinus albus cultivar Amiga chromosome 4, whole genome shotgun sequence"
"Lupinus_albus_Ksiazkiewicz2017"	"GCA_009771035.1"	"CM020003.1"	5	"17321664"	"CM020003.1 Lupinus albus cultivar Amiga chromosome 5, whole genome shotgun sequence"
"Lupinus_albus_Ksiazkiewicz2017"	"GCA_009771035.1"	"CM020004.1"	6	"17860413"	"CM020004.1 Lupinus albus cultivar Amiga chromosome 6, whole genome shotgun sequence"
"Lupinus_albus_Ksiazkiewicz2017"	"GCA_009771035.1"	"CM020005.1"	7	"17716231"	"CM020005.1 Lupinus albus cultivar Amiga chromosome 7, whole genome shotgun sequence"
